time,alpha,beta
0.1722852748442849,0.01,0.42215932522723837
0.17230795291126452,0.01,0.42218558157875735
0.17233063097824416,0.01,0.42221185554865476
0.1723533090452238,0.01,0.42223814706716434
0.17237598711220345,0.01,0.4222644560644181
0.17239866517918306,0.01,0.42229078247044555
0.1724213432461627,0.01,0.4223171262151751
0.17244402131314235,0.01,0.422343487228433
0.172466699380122,0.01,0.42236986543994404
0.1724893774471016,0.01,0.42239626077933157
0.17251205551408125,0.01,0.4224226731761181
0.1725347335810609,0.01,0.4224491025597239
0.1725574116480405,0.01,0.42247554885946914
0.17258008971502015,0.01,0.42250201200457255
0.1726027677819998,0.01,0.4225284919241522
0.17262544584897943,0.01,0.422554988547225
0.17264812391595905,0.01,0.42258150180270787
0.1726708019829387,0.01,0.4226080316194167
0.17269348004991833,0.01,0.4226345779260673
0.17271615811689797,0.01,0.4226611406512752
0.1727388361838776,0.01,0.4226877197235555
0.17276151425085723,0.01,0.4227143150713239
0.17278419231783687,0.01,0.4227409266228956
0.17280687038481649,0.01,0.4227675543064861
0.17282954845179613,0.01,0.4227941980502119
0.17285222651877577,0.01,0.422820857782089
0.1728749045857554,0.01,0.4228475334300345
0.17289758265273503,0.01,0.42287422492186655
0.17292026071971467,0.01,0.4229009321853038
0.1729429387866943,0.01,0.42292765514796554
0.17296561685367395,0.01,0.4229543937373727
0.17298829492065357,0.01,0.4229811478809472
0.1730109729876332,0.01,0.4230079175060124
0.17303365105461285,0.01,0.42303470253979314
0.17305632912159247,0.01,0.42306150290941574
0.1730790071885721,0.01,0.4230883185419085
0.17310168525555175,0.01,0.42311514936420114
0.1731243633225314,0.01,0.4231419953031257
0.173147041389511,0.01,0.4231688562854166
0.17316971945649065,0.01,0.42319573223770984
0.1731923975234703,0.01,0.4232226230865445
0.17321507559044994,0.01,0.4232495287583616
0.17323775365742955,0.01,0.4232764491795049
0.1732604317244092,0.01,0.4233033842762216
0.17328310979138883,0.01,0.42333033397466097
0.17330578785836845,0.01,0.42335729820087564
0.1733284659253481,0.01,0.4233842768808214
0.17335114399232773,0.01,0.42341126994035777
0.17337382205930738,0.01,0.4234382773052468
0.173396500126287,0.01,0.42346529890115475
0.17341917819326663,0.01,0.42349233465365166
0.17344185626024627,0.01,0.423519384488211
0.17346453432722592,0.01,0.42354644833021077
0.17348721239420553,0.01,0.42357352610493254
0.17350989046118517,0.01,0.4236006177375625
0.17353256852816482,0.01,0.423627723153191
0.17355524659514443,0.01,0.42365484227681316
0.17357792466212407,0.01,0.4236819750333286
0.17360060272910371,0.01,0.4237091213475417
0.17362328079608336,0.01,0.4237362811441621
0.17364595886306297,0.01,0.42376345434780416
0.1736686369300426,0.01,0.4237906408829876
0.17369131499702226,0.01,0.42381784067413786
0.1737139930640019,0.01,0.42384505364558517
0.1737366711309815,0.01,0.4238722797215662
0.17375934919796115,0.01,0.42389951882622284
0.1737820272649408,0.01,0.4239267708836033
0.1738047053319204,0.01,0.42395403581766133
0.17382738339890005,0.01,0.4239813135522577
0.1738500614658797,0.01,0.42400860401115875
0.17387273953285934,0.01,0.42403590711803807
0.17389541759983895,0.01,0.4240632227964755
0.1739180956668186,0.01,0.4240905509699574
0.17394077373379824,0.01,0.42411789156187785
0.17396345180077788,0.01,0.42414524449553753
0.1739861298677575,0.01,0.4241726096941442
0.17400880793473714,0.01,0.42419998708081375
0.17403148600171678,0.01,0.4242273765785685
0.1740541640686964,0.01,0.4242547781103395
0.17407684213567604,0.01,0.4242821915989653
0.17409952020265568,0.01,0.42430961696719216
0.17412219826963532,0.01,0.4243370541376747
0.17414487633661493,0.01,0.424364503032976
0.17416755440359458,0.01,0.4243919635755674
0.17419023247057422,0.01,0.42441943568782853
0.17421291053755386,0.01,0.4244469192920485
0.17423558860453348,0.01,0.4244744143104246
0.17425826667151312,0.01,0.4245019206650636
0.17428094473849276,0.01,0.42452943827798145
0.17430362280547237,0.01,0.42455696707110324
0.17432630087245202,0.01,0.42458450696626365
0.17434897893943166,0.01,0.42461205788520734
0.1743716570064113,0.01,0.42463961974958825
0.17439433507339092,0.01,0.4246671924809705
0.17441701314037056,0.01,0.4246947760008287
0.1744396912073502,0.01,0.42472237023054743
0.17446236927432984,0.01,0.4247499750914218
0.17448504734130946,0.01,0.42477759050465724
0.1745077254082891,0.01,0.4248052163913704
0.17453040347526874,0.01,0.42483285267258897
